vehicle_name,model,vehicle_type,export_status,dealer_name,model_year,location,fuel_type,mileage,spec,price
toyota,    Coaster,    Bus,   Only for export,Target Motor FZE,2023,  Dubai,  Diesel,0,  GCC,191000.0
toyota,    Land Cruiser,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  Import,323000.0
toyota,    Hilux,    Pick Up Truck,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,100000.0
toyota,    Hilux,    Pick Up Truck,   Can be exported,Target Motor FZE,2023,  Dubai,  Diesel,0,  Import,97000.0
toyota,    Hilux,    Pick Up Truck,   Can be exported,Target Motor FZE,2023,  Dubai,  Diesel,0,  GCC,160000.0
toyota,    Land Cruiser Pickup,    Pick Up Truck,   Can be exported,Target Motor FZE,2023,  Dubai,  Diesel,0,  Import,159000.0
toyota,    Land Cruiser,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,290000.0
toyota,    Land Cruiser Pickup,    Pick Up Truck,   Only for export,Target Motor FZE,2023,  Dubai,  Diesel,0,  Import,145000.0
toyota,    Hilux,    Pick Up Truck,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,126000.0
toyota,    Land Cruiser Hard Top,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Diesel,0,  GCC,165000.0
toyota,    Hilux,    Pick Up Truck,   Only for export,Target Motor FZE,2023,  Dubai,  Diesel,0,  GCC,89000.0
toyota,    Hilux,    Pick Up Truck,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  Import,138000.0
toyota,    Prado,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Diesel,0,  Import,193000.0
toyota,    Hiace,    Van,   Can be exported,Target Motor FZE,2023,  Dubai,  Diesel,0,  GCC,128000.0
toyota,    Hilux,    Pick Up Truck,   Can be exported,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,110000.0
toyota,    Land Cruiser,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Diesel,0,  Import,350000.0
toyota,    Land Cruiser,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Diesel,0,  GCC,330000.0
toyota,    Land Cruiser,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,345000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Miki Middle East General Trading LLC,2022,  Sharjah,  Diesel,0,  GCC,245000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Miki Middle East General Trading LLC,2022,  Sharjah,  Gasoline,0,  GCC,375000.0
toyota,    Sequoia,    SUV/Crossover,   Can be exported,Dresden Used Cars,2023,  Dubai,  Hybrid,78,  Import,460000.0
toyota,    Tundra,    Pick Up Truck,   Can be exported,Novi Automax Motors LLC,2023,  Dubai,  Gasoline,0,  Import,232000.0
toyota,    Hilux,    Pick Up Truck,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,149000.0
toyota,    Corolla,    Sedan,   Can be exported,New Auto FZCO,2022,  Dubai,  Gasoline,0,  Import,56000.0
toyota,    Camry,    Sedan,   Can be exported,New Auto FZCO,2023,  Dubai,  Gasoline,0,  GCC,86000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Gulf Motors,2023,  Dubai,  Gasoline,0,  GCC,389000.0
toyota,    RAV 4,    SUV/Crossover,   Can be exported,Soltan Auto,2023,  Dubai,  Gasoline,0,  GCC,109000.0
toyota,    Camry,    Sedan,   Can be exported,Soltan Auto,2023,  Dubai,  Hybrid,0,  GCC,108000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Al Yasmeen Cars,2023,  Sharjah,  Gasoline,0,  GCC,345000.0
toyota,    Hilux,    Pick Up Truck,   Can be exported,S.K Motors FZCO,2023,  Dubai,  Diesel,0,  GCC,93500.0
toyota,    Crown,    Sedan,   Can be exported,T R D Segrex,2023,  Dubai,  Hybrid,0,  GCC,180000.0
toyota,    Land Cruiser Pickup,    Pick Up Truck,   Can be exported,Miki Middle East General Trading LLC,2022,  Sharjah,  Diesel,0,  GCC,142000.0
toyota,    Highlander,    SUV/Crossover,   Can be exported,Soltan Auto,2023,  Dubai,  Hybrid,0,  GCC,170000.0
toyota,    Hiace,    Van,   Can be exported,Soltan Auto,2023,  Dubai,  Diesel,0,  Import,145000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Segrex Auto FZCO,2022,  Dubai,  Gasoline,0,  Import,266000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Segrex Auto FZCO,2022,  Dubai,  Gasoline,0,  Import,365000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Segrex Auto FZCO,2022,  Dubai,  Gasoline,0,  Import,263000.0
toyota,    Prado,    SUV/Crossover,   Can be exported,Segrex Auto FZCO,2022,  Dubai,  Diesel,0,  Import,216500.0
toyota,    Prado,    SUV/Crossover,   Can be exported,Segrex Auto FZCO,2022,  Dubai,  Diesel,0,  Import,216500.0
toyota,    Crown,    Sedan,   Can be exported,Segrex Auto FZCO,2023,  Dubai,  Hybrid,0,  GCC,182000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Atlantis Motors FZE,2021,  Dubai,  Gasoline,0,  GCC,355000.0
toyota,    Hilux,    Pick Up Truck,   Can be exported,Steerwell Used Cars TR CO L.L.C,2023,  Dubai,  Gasoline,0,  GCC,140800.0
toyota,    Fortuner,    SUV/Crossover,   Only for export,Sahara Motors,2023,  Dubai,  Gasoline,0,  GCC,191000.0
toyota,    Tundra,    Pick Up Truck,   Can be exported,Sahara Motors,2023,  Dubai,  Gasoline,0,  GCC,241000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Sahara Motors,2022,  Dubai,  Diesel,0,  GCC,329000.0
toyota,    Sequoia,    SUV/Crossover,   Only for export,Sahara Motors FZE,2023,  Dubai,  Hybrid,0,  Import,476000.0
toyota,    Tundra,    Pick Up Truck,   Can be exported,Sahara Motors FZE,2023,  Dubai,  Hybrid,0,  Import,325000.0
toyota,    Crown,    Sedan,   Can be exported,Sahara Motors,2023,  Dubai,  Hybrid,0,  Import,186000.0
toyota,    Camry,    Sedan,   Can be exported,Segrex Auto FZCO,2023,  Dubai,  Gasoline,0,  Import,120000.0
toyota,    Crown,    Sedan,   Can be exported,Segrex Auto FZCO,2023,  Dubai,  Hybrid,0,  GCC,176000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Sahara Motors,2022,  Dubai,  Diesel,0,  GCC,396000.0
toyota,    Prado,    SUV/Crossover,   Can be exported,Sahara Motors,2023,  Dubai,  Diesel,0,  GCC,220000.0
toyota,    Land Cruiser Hard Top,    SUV/Crossover,   Can be exported,Segrex Auto FZCO,2023,  Dubai,  Gasoline,0,  GCC,167000.0
toyota,    Camry,    Sedan,   Can be exported,Segrex Auto FZCO,2023,  Dubai,  Gasoline,0,  Import,130000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Segrex Auto FZCO,2023,  Dubai,  Diesel,0,  Import,250000.0
toyota,    Crown,    Sedan,   Can be exported,Sahara Motors,2023,  Dubai,  Hybrid,0,  Import,239000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Sahara Motors,2022,  Dubai,  Gasoline,0,  GCC,325000.0
toyota,    Fortuner,    SUV/Crossover,   Can be exported,Sahara Motors,2023,  Dubai,  Gasoline,0,  Import,122000.0
toyota,    Fortuner,    SUV/Crossover,   Can be exported,Sahara Motors,2023,  Dubai,  Diesel,0,  GCC,151000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Segrex Auto FZCO,2022,  Dubai,  Gasoline,0,  Import,375000.0
toyota,    Prado,    SUV/Crossover,   Only for export,Farago Motors,2023,  Dubai,  Gasoline,0,  GCC,230000.0
toyota,    bZ4X,    SUV/Crossover,   Can be exported,Gulf Auto Center DMCC,2023,  Dubai,  Electric,0,  Import,105000.0
toyota,    Land Cruiser,    SUV/Crossover,   Only for export,Farago Motors,2023,  Dubai,  Gasoline,0,  GCC,359000.0
toyota,    Camry,    Sedan,   Can be exported,White Waves Motors,2023,  Dubai,  Hybrid,0,  GCC,103000.0
toyota,    FJ Cruiser,    SUV/Crossover,   Can be exported,White Waves Motors,2023,  Dubai,  Gasoline,0,  GCC,169000.0
toyota,    Highlander,    Other,   Can be exported,White Waves Motors,2023,  Dubai,  Hybrid,0,  GCC,162000.0
toyota,    Camry,    Sedan,   Only for export,Hussein Ghulam Motors FZCO,2023,  Dubai,  Gasoline,0,  GCC,84000.0
toyota,    Highlander,    SUV/Crossover,   Only for export,Hussein Ghulam Motors FZCO,2023,  Dubai,  Hybrid,0,  GCC,175000.0
toyota,    Prado,    SUV/Crossover,   Only for export,Hussein Ghulam Motors FZCO,2023,  Dubai,  Gasoline,0,  GCC,170000.0
toyota,    Fortuner,    SUV/Crossover,   Only for export,Hussein Ghulam Motors FZCO,2023,  Dubai,  Gasoline,0,  GCC,119500.0
toyota,    Camry,    Sedan,   Only for export,Hussein Ghulam Motors FZCO,2023,  Dubai,  Gasoline,0,  GCC,122000.0
toyota,    Highlander,    SUV/Crossover,   Only for export,Hussein Ghulam Motors FZCO,2023,  Dubai,  Hybrid,0,  GCC,192000.0
toyota,    Corolla,    Sedan,   Only for export,Al Faris Used Car TR,2022,  Dubai,  Gasoline,0,  Import,67000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Central Motors,2023,  Dubai,  Gasoline,10,  GCC,389000.0
toyota,    bZ4X,    SUV/Crossover,   Can be exported,Astro Automobiles FZE,2023,  Dubai,  Electric,0,  Import,129500.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Al Haruj Motors FZE,2022,  Dubai,  Gasoline,0,  GCC,325000.0
toyota,    FJ Cruiser,    SUV/Crossover,   Can be exported,Al Saadawi Motors FZCO,2023,  Dubai,  Gasoline,0,  GCC,165000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Al-Markaziya Motors,2023,  Dubai,  Gasoline,0,  GCC,282000.0
toyota,    Yaris,    Sedan,   Can be exported,Al-Markaziya Motors,2023,  Dubai,  Gasoline,0,  GCC,56000.0
toyota,    Fortuner,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,120000.0
toyota,    Camry,    Sedan,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,90000.0
toyota,    Hiace,    Van,   Only for export,Target Motor FZE,2023,  Dubai,  Diesel,0,  GCC,106000.0
toyota,    Hiace,    Van,   Only for export,Target Motor FZE,2022,  Dubai,  Gasoline,0,  GCC,96000.0
toyota,    Land Cruiser,    SUV/Crossover,   Only for export,Target Motor FZE,2023,  Dubai,  Gasoline,0,  Import,260000.0
toyota,    FJ Cruiser,    SUV/Crossover,   Can be exported,T R D Segrex,2023,  Dubai,  Gasoline,0,  GCC,170000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Miki Middle East General Trading LLC,2023,  Sharjah,  Diesel,0,  GCC,385000.0
toyota,    Land Cruiser,    SUV/Crossover,   Can be exported,Miki Middle East General Trading LLC,2023,  Sharjah,  Gasoline,0,  GCC,398000.0
toyota,    Prado,    SUV/Crossover,   Can be exported,Target Motor FZE,2023,  Dubai,  Gasoline,0,  GCC,230000.0
